"","V1","V2"
"0",444492.526207918,5027419.0628377
"1",447626.394420466,5037590.49655917
"2",433484.360525305,5080433.27516303
"3",423088.668736448,5015337.4480905
"4",446126.724686553,5073544.54196348
"5",448961.767072787,5027365.52041679
"6",450294.455486375,5008042.93385032
"7",437746.049154032,5079452.78161096
"8",430478.492833654,5005917.47968315
"9",440243.103181828,5018740.21011817
"10",448235.488141505,5012216.81392506
"11",432534.442711433,5084204.8190477
"12",436214.567305383,5005467.46720139
"13",443698.544122841,5031176.81918607
"14",449874.14922897,5050312.79195254
"15",451156.888809313,5041650.59099855
"16",451601.164050337,5033824.46686455
"17",441895.368464566,5060709.59924188
"18",429321.833237623,5009180.07958287
"19",450597.884565168,5045107.0386921
"20",446624.668288722,5015152.764541
"21",430157.967771847,5012769.29540579
"22",447240.887876418,5052592.079638
"23",424009.724136183,5075082.70173792
"24",421276.33296634,5019379.08980817
"25",463301.102589457,5004057.64668825
"26",446469.861400451,5022713.7844009
"27",451982.792424382,5027009.24256563
"28",439705.869754256,5003924.21870625
"29",454090.445683776,5009030.82123943
"30",460746.031444094,5011995.49979873
"31",427689.938924722,5067439.62855021
"32",425349.801086276,5067868.97495541
"33",437699.946066574,5065337.11997014
"34",459188.039175829,5014321.83693655
"35",442002.419326348,5068224.76449695
"36",449362.975540268,5025140.8275463
"37",420546.62895994,5066874.01829586
"38",437346.014312381,5085411.07318594
"39",454089.17118711,5006430.3727159
"40",444749.910527414,5048874.43113341
"41",442480.010135596,5012300.35544618
"42",431930.959955901,5078194.10424471
"43",446585.518652425,5042665.22508098
"44",443893.824319695,5018751.50336068
"45",446329.016753268,5017250.62731425
"46",423723.259171647,5009572.96207396
"47",442001.081734354,5022723.19549626
"48",436987.173916162,5025823.71273488
"49",432023.981365461,5070733.72291967
"50",429435.455435512,5068029.76474247
"51",446166.102758939,5057936.67474345
"52",457398.239022925,5008499.69859503
"53",446069.970457904,5009086.25268537
"54",442424.488112427,5007390.71508723
"55",436207.92138275,5018888.9996568
"56",449307.319295443,5064079.76630658
"57",442219.031998398,5075659.85449037
"58",453863.750063353,5018674.44581865
"59",447720.029960746,5032056.6491099
"60",454996.126155558,5026096.93698989
"61",435948.602704271,5073558.05904958
"64",466465.46389329,5057059.30911205
"65",457367.053803903,5070662.15531165
"66",458407.352170252,5075499.59953092
"67",464452.898646045,5067468.00941682
"68",461867.6842943,5046465.70775992
"69",472101.298632072,5044544.61708638
"70",459001.650829906,5033171.29310632
"71",453887.304913164,5058740.12282052
"72",463705.747435723,5056635.44889949
"73",457043.326943922,5067705.9175744
"74",475850.045529243,5018184.19628722
"75",458735.293420558,5060601.63749239
"76",468780.647804738,5059950.47253642
"77",457836.412830016,5064370.37603972
"78",461283.599103638,5042334.31675468
"79",466911.750125845,5041520.56449114
"80",473839.353674483,5040146.67353504
"81",454698.038572277,5043213.89042715
"82",458979.868968379,5030686.0680017
"83",461153.253152088,5037209.46530861
"84",463018.031509899,5025715.89199083
"85",458390.726792228,5027583.95290848
"86",460536.683234679,5039923.9899186
"87",470484.912939392,5062065.91638232
"88",460873.026047076,5049665.17338522
"89",458957.622374391,5050890.25719706
"90",453518.24333041,5056686.39831393
"91",483588.187436151,5027861.49314309
"92",460384.558196615,5071014.03027814
"93",465786.219204182,5062562.520003
"94",461727.341461094,5054775.01923619
"95",457556.661018237,5057310.50320787
"96",468676.88196746,5055913.30812887
"97",466855.356610942,5064641.02343655
"98",457649.703252368,5045163.54449509
"99",458542.700792127,5054242.97927929
"100",477508.445827081,5036900.54762034
"101",473539.412154034,5026486.60109909
"102",454122.955303663,5063668.55344425
"103",455168.36531134,5049465.1960385
"104",455529.056094075,5066278.7036841
"105",467748.455194042,5024045.67092116
"106",448954.897937424,5059659.74609532
"107",459598.091643462,5067277.15145255
"108",454743.411024399,5038137.23856349
"109",465893.859623416,5074574.00933549
"110",454310.490846589,5060833.48707857
"111",458002.625646288,5038695.79787618
"112",471195.80459161,5053038.79088587
"113",463480.769396497,5074901.70948568
"114",463363.947168662,5070299.09019831
"115",468864.568096509,5051959.51531193
"116",456125.958293787,5072725.37356586
"117",466061.026715152,5046256.04715423
"118",462356.592592218,5072887.33834548
"119",472429.02913033,5024027.66031179
"120",469910.851733294,5031816.33122882
"121",472399.16835835,5049306.81876522
"122",463460.264610129,5065757.00238067
"123",454544.50521485,5070883.90914108
"124",461992.621648779,5066153.90744258
"125",452289.263669607,5073179.15782464
"126",453735.220196985,5075082.27605126
"127",461725.727025678,5071237.97904979
"128",451534.886782858,5067347.24868401
"129",472426.440144104,5054812.86260309
"130",450902.232953179,5056831.0024331
"131",455079.46825478,5034195.79305355
"132",453199.951952603,5053146.95970372
"133",480239.41022529,5034507.75800174
"134",452845.844955428,5069485.8225434
"135",454655.969951085,5030555.39399815
"136",464104.760015847,5035156.34804402
"137",456135.001369832,5040456.78359051
"138",456543.889380886,5047260.59410354
"139",453183.484747398,5064994.58003938
"140",478437.005428915,5026973.66945171
"141",464622.10307063,5052695.73021656
"142",476068.785577471,5024731.62955501
"143",478538.79330288,5022169.08160961
"144",479686.880186143,5031027.96647608
"145",465394.017517212,5050007.84375743
"146",472062.985799161,5057282.00771996
"147",473397.394242364,5021474.93120904
"148",457608.912111695,5036007.04042154
"149",460930.769749529,5019697.20666688
"151",337021.729274214,4928059.5036145
"152",358113.273939367,4905315.48505092
"153",423160.097509827,4948747.72465993
"154",425586.926962553,4938670.30539226
"155",419236.515532038,4885568.04076982
"156",336645.139288509,4915924.00048338
"157",428516.942886399,4937582.8777836
"158",423983.607999377,4904871.51465476
"159",361841.596574173,4956999.12287587
"160",412046.021479901,4957505.83846989
"161",426880.755213261,4952234.9952955
"162",369184.233002973,4954108.06153373
"163",416053.365260355,4940767.26127497
"164",412540.39818324,4922237.72783779
"165",421433.408966307,4908219.62231766
"166",392550.23950527,4913807.14385317
"167",339892.183567257,4937853.3266386
"168",418858.354964991,4927932.28135662
"169",406706.568886863,4931982.89311127
"170",428449.984269105,4942224.01842657
"171",434648.836859692,4933274.6535075
"172",374697.461033782,4915594.0939701
"173",421776.349778217,4928429.34112795
"174",430341.339150018,4942202.72710993
"175",378186.224577861,4909613.36654637
"176",431887.565933518,4938708.77106795
"177",424649.443571686,4931428.65702076
"178",385117.247142605,4907036.8609806
"179",406929.590152291,4951077.39715657
"180",410408.709171276,4917070.96546877
"181",396884.450256716,4887414.23616208
"182",373005.655845484,4939620.14243307
"183",367268.316013573,4937878.08849911
"184",376811.348433868,4929592.43281318
"185",431202.468676362,4919633.15420408
"186",421313.500444472,4961211.25080108
"187",345086.014365932,4920448.07705576
"188",415885.817376302,4885653.63108217
"189",375849.767149591,4920480.46457731
"190",399587.428136155,4959941.20446214
"191",379126.086400081,4955192.11310782
"192",408855.610665389,4925887.4598529
"193",363654.865533236,4927535.7489751
"194",391301.22594619,4963499.11636337
"195",425045.759917176,4955718.57752474
"196",348318.20900428,4939430.13315019
"197",391401.678971648,4920705.69391424
"198",435544.039048934,4926869.37584192
"199",423546.78572788,4958404.5909395
"200",419444.498629303,4919829.23522924
"201",356042.094359341,4918366.37340482
"202",430867.977338334,4911210.66030481
"203",418544.708347451,4942324.41464679
"204",436012.948565514,4953303.39190327
"205",433395.153064073,4941609.01304274
"206",393033.059319361,4954405.12849125
"207",396926.073338769,4951348.98308028
"208",354863.950842243,4924399.39566332
"209",388087.414482634,4927057.19110227
"210",406424.689954886,4963433.06375915
"211",426759.49277194,4936391.10325688
"212",379003.143270743,4915831.59829794
"213",402594.654036023,4942156.50082731
"214",422431.276174816,4914110.86519696
"215",407413.855915115,4944219.93208248
"216",393920.588606324,4901615.34079098
"217",414552.362990292,4920881.20310386
"218",422871.142143967,4934825.83723512
"219",414425.058079754,4925549.45139928
"220",417747.641841482,4954222.87897665
